date,facet,party,value,lower,upper
2019-12-12,1,con,0.450365301,0.404184771,0.497466628
2019-12-12,1,lab,0.299068329,0.263629057,0.338231436
2019-12-12,2,lib,0.10538459,0.088983251,0.124758448
2019-12-12,2,green,0.045532826,0.036719493,0.056460762
2019-12-12,2,ukip,0.031866886,0.020519778,0.048730714
2019-12-13,1,con,0.45068874,0.405319317,0.497154
2019-12-13,1,lab,0.299372933,0.26461356,0.338144372
2019-12-13,2,lib,0.10523209,0.089027483,0.124281859
2019-12-13,2,green,0.045465488,0.036731701,0.056261275
2019-12-13,2,ukip,0.031481876,0.020369692,0.047809942
2019-12-15,1,con,0.45097582,0.406719821,0.496457755
2019-12-15,1,lab,0.299566827,0.265499208,0.337861927
2019-12-15,2,lib,0.105031555,0.089084925,0.123917403
2019-12-15,2,green,0.045405708,0.036758198,0.055975486
2019-12-15,2,ukip,0.031100904,0.020250981,0.046847811
2019-12-16,1,con,0.451126737,0.407877791,0.495266821
2019-12-16,1,lab,0.299831938,0.266309113,0.337210343
2019-12-16,2,lib,0.10480732,0.089175013,0.123371296
2019-12-16,2,green,0.045356187,0.036809036,0.055783416
2019-12-16,2,ukip,0.03071734,0.020160265,0.045937789
2019-12-18,1,con,0.451456422,0.408961689,0.494461287
2019-12-18,1,lab,0.300224797,0.267285218,0.337007826
2019-12-18,2,lib,0.104625602,0.089190512,0.122824624
2019-12-18,2,green,0.045293952,0.036858162,0.055649842
2019-12-18,2,ukip,0.030349186,0.020037253,0.045033508
2019-12-19,1,con,0.45168435,0.410398669,0.49384318
2019-12-19,1,lab,0.300348984,0.268298002,0.33645985
2019-12-19,2,lib,0.104441936,0.08910924,0.122417846
2019-12-19,2,green,0.045230409,0.036871587,0.055425289
2019-12-19,2,ukip,0.029972255,0.019863906,0.044184586
2019-12-21,1,con,0.452117077,0.411806243,0.493393029
2019-12-21,1,lab,0.30070605,0.269037716,0.335626946
2019-12-21,2,lib,0.104248969,0.08920541,0.122012302
2019-12-21,2,green,0.04518939,0.036854298,0.055268933
2019-12-21,2,ukip,0.029561568,0.01976118,0.043291641
2019-12-22,1,con,0.452509367,0.412825031,0.492481781
2019-12-22,1,lab,0.300975736,0.269835886,0.33508915
2019-12-22,2,lib,0.104068935,0.089087955,0.121518733
2019-12-22,2,green,0.045104435,0.036920121,0.055197847
2019-12-22,2,ukip,0.02915878,0.019608116,0.042473333
2019-12-24,1,con,0.452847586,0.413952684,0.491675252
2019-12-24,1,lab,0.301194009,0.270556006,0.33472194
2019-12-24,2,lib,0.1038208,0.089107032,0.121097668
2019-12-24,2,green,0.04508138,0.037033352,0.055034918
2019-12-24,2,ukip,0.028786522,0.019429319,0.041690433
2019-12-25,1,con,0.453181398,0.414672888,0.491186122
2019-12-25,1,lab,0.301510675,0.271027679,0.334325809
2019-12-25,2,lib,0.103628301,0.089139262,0.120618041
2019-12-25,2,green,0.045038259,0.037050921,0.054906981
2019-12-25,2,ukip,0.028406382,0.019272049,0.04082413
