party,altTextColor,displaynameDeskTop,displaynameMobile
con,,Conservative,Con
lab,#000000,Labour,Lab
lib,,Lib Dems,LD
ukip,,Ukip,Ukip
grn,,Greens,Green
snp,,SNP,SNP
ref,,Reform,Ref
pc,,Plaid Cymru,PC
ssp,,SSP,SSP
alba,,Alba,Alba
afu,,All for Unity,AfU
oth,,Others,Others
TRUE,,TRUE,TRUE
FALSE,,FALSE,FALSE
dk,,Don’t know,Don’t know
yxdk,,TRUE,TRUE
nxdk,,FALSE,FALSE
refuse,,Refused,Refused
wnv,,Wouldn't Vote,WNV
awap,,Abolish,Abolish
cducsu,,CDU/CSU,CDU/CSU
green,,Greens,Greens
spd,,SPD,SPD
afd,,AfD,AfD
fdp,,FDP,FDP
left,,Left,Left
cdu_csu,,CDU/CSU,CDU/CSU
