party,colour,displayNameDeskTop,displayNameMobile
con,#149ADB,Conservative,Con
lab,#CF4D3C,Labour,Lab
lib,#F09000,Lib Dems,LD
ukip,#7200AB,Ukip,Ukip
grn,#8DEB9D,Greens,Green
snp,#FFDF00,SNP,SNP
ref,#80CFD6,Reform,Ref
pc,#5BA373,Plaid Cymru,PC
ssp,#990900,SSP,SSP
alba,#305EB8,Alba,Alba
afu,#F6011E,All for Unity,AfU
oth,#E0D9D5,Others,Others
yes,#3DA4AA,Yes,Yes
no,#F25E2A,No,No
dk,#E0D9D5,Don�t know,Don�t know
yxdk,#3DA4AA,Yes,Yes
nxdk,#F25E2A,No,No
refuse,#E0D9D5,Refused,Refused
wnv,#E0D9D5,Wouldn't Vote,WNV
awap,#990900,Abolish,Abolish
cdu_csu,#000000,CDU/CSU,CDU/CSU
green,#36AA5B,Greens,Greens
spd,#B80D00,SPD,SPD
afd,#52C0FF,AfD,AfD
fdp,#F5BB00,FDP,FDP
left,#73008A,Left,Lft
